name,full_name,modality,tasks,num_samples,size_gb,license,license_family,download_type,download_url,geography,scanner_device,age_range,sex_distribution,ethnicity,num_patients
dryad_namd_oct_quant,Moorfields nAMD Quantitative OCT Biomarker Dataset,tabular,regression|prognosis|fairness_analysis,2966.0,0.0032,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.2rbnzs7m4,,,,,,
dryad_namd_visual_prediction,Moorfields nAMD Visual-Change Prediction Dataset,tabular,regression|prognosis,926.0,0.0016,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.573n5tb5d,,,,,,
ophthalwechat,OphthalWeChat Dataset,text,visual_question_answering|retrieval,,0.002,CC BY 4.0 for the deposited Figshare files,cc-by,figshare,https://doi.org/10.6084/m9.figshare.29064149,,,,,,
ophtho_readability,Language and Readability Barriers in Ophthalmology Dataset,text,text_generation|classification,,0.01,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/16592100,,,,,,
ru_medical_texts_ophthalmology,Ophthalmology Russian-English Medical Text Translations,text,translation|text_generation,3473.0,0.01,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/cheshrcat/ru-medical-texts-ophtalmology,,,,,,
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,uwf_fundus,classification|progression_analysis|quality_assessment,6352.0,,CC BY 4.0,cc-by,manual,https://doi.org/10.5281/zenodo.19474623,,,,,,
oculoscope,OculoScope: Fairer AI in Ophthalmology Dataset,uwf_fundus,classification|multilabel,16530.0,20.0,CC BY 4.0,cc-by,figshare,https://figshare.com/s/926c2c2ef9e77ab5eb9d,United Kingdom (London — Moorfields Eye Hospital NHS),"Various (Optos, Zeiss Clarus, Canon CR-2 — mixed fleet)",18+ years,~50% female,"multi-ethnic (South Asian, Black, White, other)",16530.0
prime_fp20,PRIME-FP20: Ultra-Widefield Vessel Segmentation,uwf_fundus,segmentation,15.0,0.5,CC BY 4.0,cc-by,manual,https://ieee-dataport.org/open-access/prime-fp20-ultra-widefield-fundus-photography-vessel-segmentation-dataset,,,,,,
uwf_dr_peng,"UWF Fundus DR Dataset (Peng et al., 2026)",uwf_fundus,grading|classification,1630.0,3.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.31259494,,,,,,
uwf_tumor,UWF Fundus Intraocular Tumor Dataset,uwf_fundus,classification,2031.0,2.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.27986258,China (Beijing — Peking Union Medical College Hospital),Optos P200Tx Panoramic Ophthalmoscope (200° UWF),not reported,not reported,Chinese,2031.0
uwf_zhejiang,Open UWF Fundus Dataset with Disease + Quality Labels,uwf_fundus,classification|quality,700.0,2.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.26936446,,,,,,
eyecatcher_visual_field,Eyecatcher Tablet-Based Visual Field Home-Monitoring Data,visual_field,regression|classification,440.0,0.01,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/swsfj47cxw/2,,,,,,
uwhvf,UWHVF: University of Washington Humphrey Visual Field,visual_field,classification|regression,28943.0,0.05,CC BY 4.0,cc-by,direct,https://github.com/uw-biomedical-ml/uwhvf/archive/refs/heads/master.zip,"USA (Seattle, WA — University of Washington)",Humphrey Field Analyzer (HFA) 24-2 SITA Standard/Fast,18–90+ years,not reported,not reported,
visual_field_testing_experiment,Visual Field Testing Experiment,visual_field,classification|regression,,0.01,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/shozosaeki/visual-field-testing-experiment,,,,,,
