name,full_name,modality,tasks,num_samples,size_gb,license,license_family,download_type,download_url,geography,scanner_device,age_range,sex_distribution,ethnicity,num_patients
dryad_retinal_vein_cannulation,Autonomous Retinal Vein Cannulation Data and Code,multimodal,classification|navigation|surgical_workflow,26.0,7.511,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.3ffbg79zd,,,,,,
dryad_subretinal_robot,Head-Mounted Robot Subretinal Injection Dataset,multimodal,segmentation|surgical_workflow|regression,,2.481,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.w0vt4b91w,,,,,,
fovea,FOVEA: Pre/Intra-Operative Fundus + Biomicroscopy,multimodal,segmentation,40.0,4.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.28329338,,,,,,
fundus_report_dataset,Fundus Report Dataset,multimodal,report_generation|text_generation,422.0,0.5,CC BY 4.0,cc-by,huggingface,https://huggingface.co/datasets/zzzzineun/fundus-report-dataset,,,,,,
grape,GRAPE: Glaucoma Real-world Appraisal Progression Ensemble,multimodal,regression|segmentation|classification,1115.0,1.5,CC0 1.0,cc0,figshare,https://doi.org/10.6084/m9.figshare.c.6406319,"China (Guangzhou — Zhongshan Ophthalmic Center, Sun Yat-sen University)",Heidelberg Spectralis OCT + Optos UWF + Zeiss HFA (multi-modal),40+ years (glaucoma follow-up),not reported,Chinese,1115.0
hassan_composite_retina,Composite Retinal Fundus and OCT Dataset with Clinical Markings,multimodal,segmentation|classification|grading,,2.0,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/trghs22fpg/4,,,,,,
lmod_cataract_1k_cot,Cataract-1K Surgical Analysis Chain-of-Thought Dataset,multimodal,visual_question_answering|text_generation,,1.0,MIT,mit,huggingface,https://huggingface.co/datasets/mehti/LMOD-Cataract-1K-surgical-analysis-cot,,,,,,
mcoa,MCOA: Multimodal Corneal Opacity Assessment Dataset,multimodal,classification|grading,6664.0,8.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.28123088.v1,,,,,,
mmrdr,MMRDR: Multi-Modal Retinal Diabetic Retinopathy Dataset,multimodal,grading|classification,24460.0,18.61,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.29423747,"China (multi-modal, centres not detailed in descriptor)",Fundus: various; OCT: Zeiss Cirrus; UWF: Optos (mixed),not reported,not reported,Chinese,
multieye,MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,multimodal,classification,58036.0,27.3,MIT,mit,huggingface,https://huggingface.co/datasets/Luxuriant16/MultiEYE,,,,,,
ophthalvqa,OphthalVQA Dataset,multimodal,visual_question_answering|classification,,0.03,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.25624917,,,,,,
tear_meniscus,Multicentre Tear Meniscus Segmentation Dataset,multimodal,segmentation,3432.0,1.5,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.28650536.v2,,,,,,
tom500,TOM500: Multi-Organ Annotated Orbital MRI Dataset for Thyroid Eye Disease,multimodal,segmentation,500.0,20.0,CC0 1.0,cc0,figshare,https://doi.org/10.6084/m9.figshare.27133389.v1,,,,,,
uveitis_smote,Image Dataset on Eye Diseases Classification with Symptoms and SMOTE Validation,multimodal,classification|text_generation,3245.0,0.5,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/n9zp473wfw/2,,,,,,
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,oct,segmentation|classification,224.0,19.65,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.30582035.v1,,,,,,
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,oct,segmentation,1168.0,1.5,CC0 1.0,cc0,figshare,https://doi.org/10.6084/m9.figshare.c.7036994.v1,,,,,,
dryad_functional_oct_alzheimer,Functional OCT Retinal Response Dataset,oct,classification|registration|regression,,2.058,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.msbcc2ftc,,,,,,
fociset_pamm,FociSet PAMM OCT Lesion Dataset,oct,detection|segmentation,133.0,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/mkwxn7rjpm/2,,,,,,
goals,GOALS — Glaucoma OCT Layer Segmentation (MICCAI 2022),oct,segmentation|classification,300.0,0.5,CC BY 4.0,cc-by,gdrive,https://aistudio.baidu.com/competition/detail/783/0/introduction,China (Hangzhou — Zhejiang University Second Affiliated Hospital),Optovue Avanti RTVue XR OCTA (6×6 mm),not reported,not reported,Chinese,300.0
kermany_oct,Kermany OCT 2018: Retinal OCT Image Classification,oct,classification,84484.0,6.0,CC BY 4.0,cc-by,kaggle,https://www.kaggle.com/datasets/paultimothymooney/kermany2018,USA (UC San Diego + China — Shenzhen Aier Eye Hospital),Heidelberg Spectralis OCT,not reported,not reported,mixed (US + Chinese),
mario,MARIO: AMD-Progression Longitudinal OCT (MICCAI 2024),oct,classification|progression,30000.0,25.0,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/15270469,,,,,,
