record_id,canonical_name,modalities,download_type,selection,estimated_size_gb,existing_file_count,existing_recognized,route_check_result,acquisition_status,transfer_started,downloaded_file_count,downloaded_size_bytes,load_status,load_split,loaded_sample_count,sample_path_exists,image_decode_status,scratch_cleanup_status,record_completed
eth_xgaze,ETH-XGaze Extreme-Pose Gaze Estimation Dataset,eye_tracking,manual,preflight_blocked,130.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
external_eye_blepharitis,External Eye Photographs for Screening Referable Blepharitis,external_eye,mendeley,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eye_conjunctiva_segmentation,Eye Conjunctiva Segmentation Dataset,external_eye,mendeley,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eye_disease_image_mendeley,Eye Disease Image Dataset,fundus,mendeley,excluded_known_platform,1.5,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eyecare_100k,Eyecare-100K: Multimodal Ophthalmology VQA Corpus,fundus|fundus_angiography|fundus_autofluorescence|oct|ocular_ultrasound|external_eye|ct|text,huggingface,excluded_known_platform,30.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eyecatcher_visual_field,Eyecatcher Tablet-Based Visual Field Home-Monitoring Data,visual_field,mendeley,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eyepacs,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),fundus,kaggle,excluded_known_platform,89.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
eyeq,EyeQ Retinal Image Quality Assessment Dataset,fundus,github,eligible_download,,0,False,not_applicable,completed,True,35,5441353,not_implemented,train,,,not_applicable,removed,True
fairvlmed,FairVLMed: Fair Vision-Language Medical Ophthalmic Dataset,fundus|visual_field|text|tabular,huggingface,excluded_known_platform,10.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
fang_sbsdi_oct,Duke Fang SBSDI Retinal OCT Dataset,oct,manual,preflight_blocked,0.45,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
farfum_rop,FARFUM-ROP: Fundus Annotation Repository for Retinopathy of Prematurity,fundus,figshare,eligible_download,1.0,0,False,not_applicable,completed,True,1603,4321454537,passed,train,1533,True,passed,removed,True
