record_id,canonical_name,modalities,download_type,selection,estimated_size_gb,existing_file_count,existing_recognized,route_check_result,acquisition_status,transfer_started,downloaded_file_count,downloaded_size_bytes,load_status,load_split,loaded_sample_count,sample_path_exists,image_decode_status,scratch_cleanup_status,record_completed
tian_oct,Tian OCTRIMA 3D OCT Layer Segmentation Dataset,oct,direct,eligible_download,0.2,0,False,not_applicable,completed,True,11,52385466,passed,test,10,True,not_applicable,removed,True
tom500,TOM500: Multi-Organ Annotated Orbital MRI Dataset for Thyroid Eye Disease,orbital_mri|tabular,figshare,eligible_download,2.31,0,False,not_applicable,completed,True,1001,5011851819,not_implemented,all,,,not_applicable,removed,True
toxofundus,ToxoFundus: Ocular Toxoplasmosis Fundus Dataset,fundus,kaggle,excluded_known_platform,0.2,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
trend2_fundus,TREND2 Chronic Disease Portable Fundus Dataset,fundus,zenodo,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
trend_fundus,TREND Portable Fundus Microvascular Network Dataset,fundus,zenodo,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
tsukazaki_uwf,Tsukazaki Hospital UWF Fundus Dataset,uwf_fundus,github,preflight_blocked,15.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
ubiris_v2,UBIRIS.v2 Noisy Visible-Wavelength Iris Database,iris_biometrics,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
umn_parhi_oct,UMN Parhi Lab AMD OCT Fluid Segmentation Dataset,oct,direct,eligible_download,0.5,0,False,not_applicable,completed,True,2,263178207,passed,all,600,True,not_applicable,removed,True
ut_fsocta,UTHealth Fundus and Synthetic OCTA Dataset,fundus|octa,zenodo,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
uveitis_smote,Image Dataset on Eye Diseases Classification with Symptoms and SMOTE Validation,external_eye|tabular,mendeley,excluded_known_platform,0.5,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
uwf_dr,UWF DR Reasoning Dataset,uwf_fundus,gdrive,route_check_only,2.0,0,False,passed_landing_page,not_run_route_check_only,False,,,not_run,,,,,,True
uwf_dr_peng,"UWF Fundus DR Dataset (Peng et al., 2026)",uwf_fundus,figshare,eligible_download,3.0,0,False,not_applicable,completed,True,1634,802760901,not_implemented,all,,,not_applicable,removed,True
uwf_tumor,UWF Fundus Intraocular Tumor Dataset,uwf_fundus,figshare,eligible_download,2.0,0,False,not_applicable,completed,True,2032,4118013406,passed,train,2031,True,passed,removed,True
uwf_zhejiang,Open UWF Fundus Dataset with Disease + Quality Labels,uwf_fundus,figshare,eligible_download,2.0,0,False,not_applicable,completed,True,704,21618715613,not_implemented,all,,,not_applicable,removed,True
uwhvf,UWHVF: University of Washington Humphrey Visual Field,visual_field,direct,eligible_download,0.05,0,False,not_applicable,completed,True,22,113220045,passed,all,7428,True,not_applicable,removed,True
vietai_retinal_disease,VietAI Retinal Disease Detection 2020,fundus,kaggle,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
visual_field_testing_experiment,Visual Field Testing Experiment,visual_field,kaggle,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
x_pcr,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,fundus|fundus_angiography|oct|external_eye|retcam|text,huggingface,excluded_known_platform,5.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
